operation;cost_per_ha;SMK operation code;Finnish;
planting;737;NA;Istutus;
clearing;200;400;Raivaus;
mechanical_clearing;200;410;Mekaaninen raivaus;
mechanical_chemical_clearing;200;420;Mekaanis-kemiallinen raivaus;
prevention_of_aspen_saplings;200;440;Haavan vesottumisen ennakkotorjunta;
clearing_before_cutting;345;450;Raivaus ennen hakkuita;
complementary_planting;369;600;Täydennysistutus;
complementary_sowing;212;630;Täydennyskylvö;
mechanical_hay_prevention;441;640;Mekaaninen heinäntorjunta;
chemical_hay_prevention;441;650;Kemiallinen heinäntorjunta;
mechanical_clearing_other_species;441;660;Mekaaninen perkaus;
chemical_clearing_other_species;441;670;Kemiallinen perkaus;
mechanical_chemical_clearing_other_species;441;680;Mekaanis-kemiallinen perkaus;
hole_clearing;441;690;Reikäperkaus;
ditching;100;930;Uudisojitus;
reconditioning_ditching;317;940;Kunnostusojitus;
ditch_blocking;100;950;Ojien tukkiminen;
root_rot_prevention;100;990;Juurikäävän torjunta;
other_regeneration;100;999;Muu perustamistoimenpide;
soil_preparation;391;501;Maanpinnan käsittely;
scalping;465;510;Laikutus;
mounding_by_scalping;502;520;Laikkumätästys;
mounding_by_ground_turning;502;521;Kääntömätästys;
furrow_mounding;502;522;Naveromätästys;
harrowing;262;530;äestys;
ploughing;262;540;Auraus;
mounding_by_ditching;502;550;Ojitusmätästys;
field_preparation;100;560;Pellon muokkaus;
controlled_burning;100;570;Kulotus;
digger_scalping;465;580;Kaivurilaikutus;
soil_preparation_by_tree_stump_lifting;465;585;Muokkaus kantoja nostamalla;
cross_harrowing;262;590;Ristiinäestys;
